File Name,20190906_sampler-collector-revisions_NEBNext.pcrd
Created By User,admin
Notes,
ID,
Run Started,09/07/2019 05:29:40 UTC
Run Ended,09/07/2019 06:56:34 UTC
Sample Vol,20
Lid Temp,105
Protocol File Name,NEBNext.prcl
Plate Setup File Name,20190906_sampler-collector-revision_NEBNext.pltd
Base Serial Number,CT019159
Optical Head Serial Number,785BR13728
CFX Manager Version,3.1.1517.0823. 
